time,price,volume,type
2023-04-15 17:33:55.546000+04:30,15450000000,0.002268,buy
2023-04-15 17:33:41.215000+04:30,15430000010,0.005075,buy
2023-04-15 17:33:31.627000+04:30,15450000000,0.002,buy
2023-04-15 17:33:30.339000+04:30,15425010000,0.000001,sell
2023-04-15 17:33:30.339000+04:30,15430000000,0.000001,sell
2023-04-15 17:33:30.339000+04:30,15430000000,0.013041,buy
2023-04-15 17:33:29.019000+04:30,15430000000,0.004531,sell
2023-04-15 17:33:29.019000+04:30,15430000010,0.001101,sell
2023-04-15 17:32:59.983000+04:30,15430000010,0.000001,sell
2023-04-15 17:32:32.963000+04:30,15430000010,0.000468,sell
2023-04-15 17:32:26.442000+04:30,15430000010,0.000001,sell
2023-04-15 17:32:23.463000+04:30,15450000000,0.000646,buy
2023-04-15 17:32:21.405000+04:30,15430000010,0.001021,sell
2023-04-15 17:32:09.383000+04:30,15460000000,0.010222,buy
2023-04-15 17:32:09.383000+04:30,15450000000,0.002376,buy
2023-04-15 17:32:09.383000+04:30,15450000000,0.002163,buy
2023-04-15 17:36:36.879000+04:30,15449999990,0.011264,buy
2023-04-15 17:36:36.879000+04:30,15430000000,0.00005,buy
2023-04-15 17:36:29.848000+04:30,15425010000,0.0019,sell
2023-04-15 17:36:25.353000+04:30,15425010000,0.000001,sell
2023-04-15 17:36:16.106000+04:30,15430000000,0.00034,sell
2023-04-15 17:35:48.796000+04:30,15430000010,0.008011,buy
2023-04-15 17:35:47.642000+04:30,15430000010,0.002711,sell
2023-04-15 17:35:47.642000+04:30,15430000010,0.005832,sell
2023-04-15 17:35:28.482000+04:30,15430000010,0.000648,sell
2023-04-15 17:34:43.261000+04:30,15449999990,0.000226,buy
2023-04-15 17:34:35.689000+04:30,15449999990,0.001015,buy
2023-04-15 17:34:35.689000+04:30,15449600000,0.000709,buy
2023-04-15 17:33:55.546000+04:30,15450000000,0.002268,buy
2023-04-15 17:33:41.215000+04:30,15430000010,0.005075,buy
2023-04-15 17:33:31.627000+04:30,15450000000,0.002,buy
2023-04-15 17:33:30.339000+04:30,15425010000,0.000001,sell
2023-04-15 17:33:30.339000+04:30,15430000000,0.000001,sell
2023-04-15 17:33:30.339000+04:30,15430000000,0.013041,buy
2023-04-15 17:33:29.019000+04:30,15430000000,0.004531,sell
2023-04-15 17:33:29.019000+04:30,15430000010,0.001101,sell
2023-04-15 17:37:45.510000+04:30,15425010000,0.000001,sell
2023-04-15 17:37:44.197000+04:30,15449999990,0.035856,buy
2023-04-15 17:37:35.510000+04:30,15425010000,0.002035,sell
2023-04-15 17:37:28.899000+04:30,15449999990,0.003678,buy
2023-04-15 17:37:04.864000+04:30,15449999990,0.000032,buy
2023-04-15 17:36:36.879000+04:30,15449999990,0.011264,buy
2023-04-15 17:36:36.879000+04:30,15430000000,0.00005,buy
2023-04-15 17:36:29.848000+04:30,15425010000,0.0019,sell
2023-04-15 17:36:25.353000+04:30,15425010000,0.000001,sell
2023-04-15 17:36:16.106000+04:30,15430000000,0.00034,sell
2023-04-15 17:35:48.796000+04:30,15430000010,0.008011,buy
2023-04-15 17:35:47.642000+04:30,15430000010,0.002711,sell
2023-04-15 17:35:47.642000+04:30,15430000010,0.005832,sell
2023-04-15 17:35:28.482000+04:30,15430000010,0.000648,sell
2023-04-15 17:34:43.261000+04:30,15449999990,0.000226,buy
2023-04-15 17:34:35.689000+04:30,15449999990,0.001015,buy
2023-04-15 17:34:35.689000+04:30,15449600000,0.000709,buy
2023-04-15 17:33:55.546000+04:30,15450000000,0.002268,buy
2023-04-15 17:33:41.215000+04:30,15430000010,0.005075,buy
2023-04-15 17:33:31.627000+04:30,15450000000,0.002,buy
2023-04-15 17:38:37.830000+04:30,15425120000,0.000001,sell
2023-04-15 17:37:52.523000+04:30,15425110000,0.000001,sell
2023-04-15 17:37:45.510000+04:30,15425010000,0.000001,sell
2023-04-15 17:37:44.197000+04:30,15449999990,0.035856,buy
2023-04-15 17:37:35.510000+04:30,15425010000,0.002035,sell
2023-04-15 17:37:28.899000+04:30,15449999990,0.003678,buy
2023-04-15 17:37:04.864000+04:30,15449999990,0.000032,buy
2023-04-15 17:36:36.879000+04:30,15449999990,0.011264,buy
2023-04-15 17:36:36.879000+04:30,15430000000,0.00005,buy
2023-04-15 17:36:29.848000+04:30,15425010000,0.0019,sell
2023-04-15 17:36:25.353000+04:30,15425010000,0.000001,sell
2023-04-15 17:36:16.106000+04:30,15430000000,0.00034,sell
2023-04-15 17:35:48.796000+04:30,15430000010,0.008011,buy
2023-04-15 17:35:47.642000+04:30,15430000010,0.002711,sell
2023-04-15 17:35:47.642000+04:30,15430000010,0.005832,sell
2023-04-15 17:35:28.482000+04:30,15430000010,0.000648,sell
2023-04-15 17:34:43.261000+04:30,15449999990,0.000226,buy
2023-04-15 17:34:35.689000+04:30,15449999990,0.001015,buy
2023-04-15 17:34:35.689000+04:30,15449600000,0.000709,buy
2023-04-15 17:33:55.546000+04:30,15450000000,0.002268,buy
2023-04-15 17:39:29.299000+04:30,15426000000,0.000327,buy
2023-04-15 17:39:24.789000+04:30,15426000000,0.000233,buy
2023-04-15 17:39:24.295000+04:30,15426000000,0.000194,buy
2023-04-15 17:39:23.285000+04:30,15426000000,0.0017,sell
2023-04-15 17:39:22.591000+04:30,15426000000,0.000001,sell
2023-04-15 17:38:53.532000+04:30,15426000000,0.0003,sell
2023-04-15 17:38:50.363000+04:30,15425120000,0.00096,sell
2023-04-15 17:38:37.830000+04:30,15425120000,0.000001,sell
2023-04-15 17:37:52.523000+04:30,15425110000,0.000001,sell
2023-04-15 17:37:45.510000+04:30,15425010000,0.000001,sell
2023-04-15 17:37:44.197000+04:30,15449999990,0.035856,buy
2023-04-15 17:37:35.510000+04:30,15425010000,0.002035,sell
2023-04-15 17:37:28.899000+04:30,15449999990,0.003678,buy
2023-04-15 17:37:04.864000+04:30,15449999990,0.000032,buy
2023-04-15 17:36:36.879000+04:30,15449999990,0.011264,buy
2023-04-15 17:36:36.879000+04:30,15430000000,0.00005,buy
2023-04-15 17:36:29.848000+04:30,15425010000,0.0019,sell
2023-04-15 17:36:25.353000+04:30,15425010000,0.000001,sell
2023-04-15 17:36:16.106000+04:30,15430000000,0.00034,sell
2023-04-15 17:35:48.796000+04:30,15430000010,0.008011,buy
2023-04-15 17:40:17.326000+04:30,15440000080,0.000064,buy
2023-04-15 17:40:09.700000+04:30,15426120000,0.003302,sell
2023-04-15 17:40:09.700000+04:30,15426140000,0.003758,sell
2023-04-15 17:39:29.299000+04:30,15426000000,0.000327,buy
2023-04-15 17:39:24.789000+04:30,15426000000,0.000233,buy
2023-04-15 17:39:24.295000+04:30,15426000000,0.000194,buy
2023-04-15 17:39:23.285000+04:30,15426000000,0.0017,sell
2023-04-15 17:39:22.591000+04:30,15426000000,0.000001,sell
2023-04-15 17:38:53.532000+04:30,15426000000,0.0003,sell
2023-04-15 17:38:50.363000+04:30,15425120000,0.00096,sell
2023-04-15 17:38:37.830000+04:30,15425120000,0.000001,sell
2023-04-15 17:37:52.523000+04:30,15425110000,0.000001,sell
2023-04-15 17:37:45.510000+04:30,15425010000,0.000001,sell
2023-04-15 17:37:44.197000+04:30,15449999990,0.035856,buy
2023-04-15 17:37:35.510000+04:30,15425010000,0.002035,sell
2023-04-15 17:37:28.899000+04:30,15449999990,0.003678,buy
2023-04-15 17:37:04.864000+04:30,15449999990,0.000032,buy
2023-04-15 17:36:36.879000+04:30,15449999990,0.011264,buy
2023-04-15 17:36:36.879000+04:30,15430000000,0.00005,buy
2023-04-15 17:36:29.848000+04:30,15425010000,0.0019,sell
2023-04-15 17:41:23.177000+04:30,15440000080,0.003936,buy
2023-04-15 17:40:54.291000+04:30,15426260000,0.000001,sell
2023-04-15 17:40:17.326000+04:30,15440000080,0.000064,buy
2023-04-15 17:40:09.700000+04:30,15426120000,0.003302,sell
2023-04-15 17:40:09.700000+04:30,15426140000,0.003758,sell
2023-04-15 17:39:29.299000+04:30,15426000000,0.000327,buy
2023-04-15 17:39:24.789000+04:30,15426000000,0.000233,buy
2023-04-15 17:39:24.295000+04:30,15426000000,0.000194,buy
2023-04-15 17:39:23.285000+04:30,15426000000,0.0017,sell
2023-04-15 17:39:22.591000+04:30,15426000000,0.000001,sell
2023-04-15 17:38:53.532000+04:30,15426000000,0.0003,sell
2023-04-15 17:38:50.363000+04:30,15425120000,0.00096,sell
2023-04-15 17:38:37.830000+04:30,15425120000,0.000001,sell
2023-04-15 17:37:52.523000+04:30,15425110000,0.000001,sell
2023-04-15 17:37:45.510000+04:30,15425010000,0.000001,sell
2023-04-15 17:37:44.197000+04:30,15449999990,0.035856,buy
2023-04-15 17:37:35.510000+04:30,15425010000,0.002035,sell
2023-04-15 17:37:28.899000+04:30,15449999990,0.003678,buy
2023-04-15 17:37:04.864000+04:30,15449999990,0.000032,buy
2023-04-15 17:36:36.879000+04:30,15449999990,0.011264,buy
2023-04-15 17:42:37.872000+04:30,15449999990,0.000089,buy
2023-04-15 17:42:37.872000+04:30,15449999990,0.005991,buy
2023-04-15 17:42:33.150000+04:30,15449999990,0.010449,buy
2023-04-15 17:42:33.150000+04:30,15449999990,0.000331,buy
2023-04-15 17:42:33.150000+04:30,15449999990,0.002165,buy
2023-04-15 17:42:26.975000+04:30,15449999990,0.000249,buy
2023-04-15 17:42:06.396000+04:30,15426330000,0.000681,sell
2023-04-15 17:42:01.987000+04:30,15426330000,0.001505,sell
2023-04-15 17:42:01.680000+04:30,15449999990,0.026665,buy
2023-04-15 17:41:49.021000+04:30,15426330000,0.00066,sell
2023-04-15 17:41:23.177000+04:30,15440000080,0.003936,buy
2023-04-15 17:40:54.291000+04:30,15426260000,0.000001,sell
2023-04-15 17:40:17.326000+04:30,15440000080,0.000064,buy
2023-04-15 17:40:09.700000+04:30,15426120000,0.003302,sell
2023-04-15 17:40:09.700000+04:30,15426140000,0.003758,sell
2023-04-15 17:39:29.299000+04:30,15426000000,0.000327,buy
2023-04-15 17:39:24.789000+04:30,15426000000,0.000233,buy
2023-04-15 17:39:24.295000+04:30,15426000000,0.000194,buy
2023-04-15 17:39:23.285000+04:30,15426000000,0.0017,sell
2023-04-15 17:39:22.591000+04:30,15426000000,0.000001,sell
2023-04-15 17:43:35.622000+04:30,15426442000,0.0014,sell
2023-04-15 17:43:31.467000+04:30,15450000000,0.000001,buy
2023-04-15 17:43:14.267000+04:30,15450000000,0.004609,buy
2023-04-15 17:43:14.267000+04:30,15449999990,0.000623,buy
2023-04-15 17:43:14.267000+04:30,15449999990,0.000122,buy
2023-04-15 17:43:04.831000+04:30,15426352000,0.004626,sell
2023-04-15 17:42:37.872000+04:30,15449999990,0.000089,buy
2023-04-15 17:42:37.872000+04:30,15449999990,0.005991,buy
2023-04-15 17:42:33.150000+04:30,15449999990,0.010449,buy
2023-04-15 17:42:33.150000+04:30,15449999990,0.000331,buy
2023-04-15 17:42:33.150000+04:30,15449999990,0.002165,buy
2023-04-15 17:42:26.975000+04:30,15449999990,0.000249,buy
2023-04-15 17:42:06.396000+04:30,15426330000,0.000681,sell
2023-04-15 17:42:01.987000+04:30,15426330000,0.001505,sell
2023-04-15 17:42:01.680000+04:30,15449999990,0.026665,buy
2023-04-15 17:41:49.021000+04:30,15426330000,0.00066,sell
2023-04-15 17:41:23.177000+04:30,15440000080,0.003936,buy
2023-04-15 17:40:54.291000+04:30,15426260000,0.000001,sell
2023-04-15 17:40:17.326000+04:30,15440000080,0.000064,buy
2023-04-15 17:40:09.700000+04:30,15426120000,0.003302,sell
2023-04-15 17:46:06.031000+04:30,15426580000,0.000063,sell
2023-04-15 17:45:34.877000+04:30,15465000000,0.003114,buy
2023-04-15 17:44:57.994000+04:30,15426362000,0.000001,sell
2023-04-15 17:44:47.960000+04:30,15460000000,0.000305,buy
2023-04-15 17:44:46.890000+04:30,15426362000,0.010113,sell
2023-04-15 17:44:46.890000+04:30,15426442000,0.00176,sell
2023-04-15 17:44:46.890000+04:30,15426443000,0.000641,sell
2023-04-15 17:44:46.890000+04:30,15426443010,0.0012,sell
2023-04-15 17:44:38.431000+04:30,15460000000,0.010447,buy
2023-04-15 17:44:25.291000+04:30,15460000000,0.013652,buy
2023-04-15 17:44:25.291000+04:30,15460000000,0.004937,buy
2023-04-15 17:44:21.624000+04:30,15426443000,0.001083,sell
2023-04-15 17:44:21.309000+04:30,15450000000,0.001389,buy
2023-04-15 17:44:15.010000+04:30,15450000000,0.001712,buy
2023-04-15 17:44:15.010000+04:30,15450000000,0.000476,buy
2023-04-15 17:43:47.001000+04:30,15426443000,0.000001,sell
